customer_id,name,email,city,state,join_date,loyalty_flag
C0001,Robin Smith,maywilliam@hendrix.com,Davisville,Texas,9/21/2023,FALSE
C0002,Troy Wilson,yallen@hotmail.com,East Hannah,Alabama,11/6/2024,FALSE
C0003,Brandon West,adamslisa@clay.com,Lake Shannon,Georgia,10/20/2024,FALSE
C0004,William Rosario,vanessaosborne@morris.biz,Armstrongfurt,Georgia,11/24/2022,FALSE
C0005,William Arnold,dhuffman@mooney.com,South Dawnside,Texas,3/21/2024,FALSE
C0006,Jennifer Jefferson,randylutz@hotmail.com,Port Isabel,Florida,9/10/2023,FALSE
C0007,Darius Donaldson,danielle74@stafford.com,East Deborah,Mississippi,3/4/2025,TRUE
C0008,Jennifer Webb,berryjohn@gmail.com,Edwardsside,Idaho,1/21/2023,FALSE
C0009,Jennifer Campos,mortonjonathan@hotmail.com,South Sean,Florida,11/27/2024,FALSE
C0010,Lucas Cruz,morgan78@hotmail.com,New Jasminemouth,California,1/25/2023,TRUE
C0011,Mark Campbell,justinsmith@hernandez.biz,East Michael,Louisiana,3/29/2023,TRUE
C0012,Alan Wolfe,mcgrathjennifer@robinson.com,New Wendy,Massachusetts,2/15/2025,FALSE
C0013,Jill Bush,eric92@gmail.com,Simmonsbury,Nebraska,1/28/2025,FALSE
C0014,Matthew Erickson,johnadams@banks-smith.com,West Kristinfurt,Massachusetts,4/23/2025,FALSE
C0015,Kelly Barton,sandrazamora@martin-johnson.org,East Mary,Oklahoma,3/25/2023,FALSE
C0016,Michael Hall,christopher62@taylor.com,Hickmanfurt,Kansas,4/22/2023,TRUE
C0017,Paige Compton,angela91@gmail.com,Sancheztown,Oregon,7/19/2024,FALSE
C0018,Michele Allen,sarah95@arnold.com,West Christianshire,Nevada,5/5/2023,FALSE
C0019,Brianna Knapp,brownmary@pitts.biz,West Austin,Hawaii,6/30/2025,FALSE
C0020,Kevin Brown,jamesdavis@butler.info,West Stephen,Michigan,6/28/2025,FALSE
C0021,Cynthia Boyd,christopher60@gmail.com,East Kelsey,New Jersey,3/29/2023,TRUE
C0022,Thomas Buchanan,reyesjustin@gmail.com,Deborahberg,Arkansas,9/15/2024,TRUE
C0023,Kimberly Strickland DDS,sanderson@holland-montgomery.com,South Zacharyport,West Virginia,4/14/2023,TRUE
C0024,Timothy Walker,dlong@pierce.org,West Sean,New Mexico,4/18/2024,FALSE
C0025,Jackie Robbins,elizabeth38@hotmail.com,Travisshire,Louisiana,11/5/2022,FALSE
C0026,Douglas Delacruz,freemandaniel@hotmail.com,Port Yvonne,North Carolina,9/14/2025,TRUE
C0027,Mr. Craig Downs,glennwilson@robertson.info,Tuckertown,West Virginia,9/9/2023,FALSE
C0028,Jeffrey Cross,paultaylor@obrien.com,,Kentucky,4/28/2025,TRUE
C0029,Gary Whitehead,yhill@gmail.com,Port Kyle,New Jersey,9/16/2025,FALSE
C0030,Michael Hale,hstewart@hotmail.com,Port Amberstad,Texas,8/8/2024,TRUE
C0031,Daniel Evans,wayne91@marshall-callahan.net,Wardmouth,Nevada,7/8/2024,FALSE
C0032,Anthony Wise,jenningskatie@yahoo.com,East John,Hawaii,5/24/2023,TRUE
C0033,Jessica Mason,reidjane@arnold-franco.com,East Anthony,Missouri,5/18/2023,FALSE
